film_title,imdb_id,url,imdbRating,budget,release_day,release_month,release_year,duration_minutes,main_spoken_language,total_number_of_spoken_languages,total_number_of_genres,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor1_known_for,main_actor1_star_meter,main_actor2_name,main_actor2_is_female,main_actor2_known_for,main_actor2_star_meter,main_actor3_name,main_actor3_is_female,main_actor3_known_for,main_actor3_star_meter,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
Disturbing Behavior,tt0134619,http://www.imdb.com/title/tt0134619/,5.5,15000000,24,7,1998,84,English,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,James Marsden,0,X-Men (2000),1572,Katie Holmes,1,Batman Begins (2005),1251,Nick Stahl,0,Terminator 3: Rise of the Machines (2003),5558,15,David Nutter,0,1,Armyan Bernstein,2,Randy Jon Morgan,Village Roadshow Pictures,5,Australia,2
Django Unchained,tt1853728,http://www.imdb.com/title/tt1853728/,8.5,100000000,25,12,2012,165,English,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jamie Foxx,0,Django Unchained (2012),1731,Christoph Waltz,0,Django Unchained (2012),1113,Leonardo DiCaprio,0,Inception (2010),106,115,Quentin Tarantino,0,1,Stacey Sher,3,Fred Raskin,Columbia Pictures,2,United States of America,1
Do Aur Do Paanch,tt0080638,http://www.imdb.com/title/tt0080638/,7.2,,10,2,1980,132,हिन्दी,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amitabh Bachchan,0,Black (2005),4503,Shashi Kapoor,0,Kalyug (1981),18418,Hema Malini,1,Sholay (1975),39552,4,Rakesh Kumar,0,1,none,0,none,none,0,India,1
Do Dooni Chaar,tt1714832,http://www.imdb.com/title/tt1714832/,7.7,,8,10,2010,146,हिन्दी,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rishi Kapoor,0,Agneepath (2012),13943,Neetu Singh,1,Chakravyuha (1978),32474,Aditi Vasudev,1,none,8561621,3,Habib Faisal,0,1,none,0,none,none,0,India,1
Do the Right Thing,tt0097216,http://www.imdb.com/title/tt0097216/,7.9,6500000,30,6,1989,120,English,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ossie Davis,0,Do the Right Thing (1989),13365,Danny Aiello,0,Do the Right Thing (1989),5934,Giancarlo Esposito,0,Breaking Bad (2008),1645,25,Spike Lee,0,1,Spike Lee,1,Barry Alexander Brown,Universal Pictures,2,United States of America,1
DOA: Dead or Alive,tt0398913,http://www.imdb.com/title/tt0398913/,4.8,21000000,7,9,2006,87,English,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaime Pressly,1,My Name Is Earl (2005),608,Devon Aoki,1,2 Fast 2 Furious (2003),209,Holly Valance,1,Taken (I) (2008),1452,18,Corey Yuen Kwai,0,1,Paul W.S. Anderson,1,Eddie Hamilton,Impact Pictures,6,Germany,3
Doc Savage: The Man of Bronze,tt0072886,http://www.imdb.com/title/tt0072886/,5.5,,1,6,1975,112,English,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ron Ely,0,Doc Savage: The Man of Bronze (1975),12759,Paul Gleason,0,The Breakfast Club (1985),4870,William Lucking,0,Red Dragon (2002),8964,10,Michael Anderson,0,1,George Pal,1,Thomas J. McCarthy,Warner Bros.,1,United States of America,1
Doctor Dolittle,tt0061584,http://www.imdb.com/title/tt0061584/,6.2,18000000,19,12,1967,152,English,2,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rex Harrison,0,Cleopatra (1963),6932,Samantha Eggar,1,The Molly Maguires (1970),7168,Richard Attenborough,0,Jurassic Park (1993),2222,10,Richard Fleischer,0,1,Arthur P. Jacobs,1,Samuel E. Beetley,Twentieth Century Fox Film Corporation,2,United States of America,1
Doctor Dolittle,tt0118998,http://www.imdb.com/title/tt0118998/,5.3,71000000,22,6,1998,85,English,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eddie Murphy,0,The Nutty Professor (1996),934,Ossie Davis,0,Do the Right Thing (1989),13365,Oliver Platt,0,2012 (I) (2009),3555,12,Betty Thomas,1,1,John Davis,2,Peter Teschner,Twentieth Century Fox Film Corporation,3,United States of America,1
Doctor Faustus,tt0062898,http://www.imdb.com/title/tt0062898/,5.8,,10,10,1967,93,English,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Richard Burton,0,The Wire (2002),184964,Elizabeth Taylor,1,"b""Whos Afraid of Virginia Woolf? (1966)""",1089,Richard Durden,0,From Paris with Love (2010),26685,8,Richard Burton,0,1,none,0,none,Venfilms,3,United Kingdom,1
Doctor Zhivago,tt0059113,http://www.imdb.com/title/tt0059113/,8,11000000,22,12,1965,197,English,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Omar Sharif,0,Doctor Zhivago (1965),4539,Julie Christie,1,Doctor Zhivago (1965),3024,Geraldine Chaplin,1,Talk to Her (2002),1981,39,David Lean,0,1,Carlo Ponti,1,Norman Savage,Metro-Goldwyn-Mayer (MGM),1,Italy,2
Dodge City,tt0031235,http://www.imdb.com/title/tt0031235/,7.2,,31,3,1939,104,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Errol Flynn,0,Adventures of Don Juan (1948),3462,Olivia de Havilland,1,The Heiress (1949),3615,Ann Sheridan,1,Kings Row (1942),13261,62,Michael Curtiz,0,1,none,0,George Amy,Warner Bros.,1,United States of America,1
DodgeBall: A True Underdog Story,tt0364725,http://www.imdb.com/title/tt0364725/,6.7,20000000,18,6,2004,92,English,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vince Vaughn,0,The Break-Up (2006),1702,Christine Taylor,1,The Wedding Singer (1998),1416,Ben Stiller,0,Zoolander (2001),1268,18,Rawson Marshall Thurber,0,1,Stuart Cornfeld,2,Alan Baumgarten,Twentieth Century Fox Film Corporation,3,Germany,2
Dog Day Afternoon,tt0072890,http://www.imdb.com/title/tt0072890/,8.1,1800000,11,8,1975,125,English,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Pacino,0,Serpico (1973),516,John Cazale,0,Dog Day Afternoon (1975),4786,Charles Durning,0,Dog Day Afternoon (1975),7175,39,Sidney Lumet,1,1,Martin Bregman,3,Dede Allen,Artists Entertainment Complex,2,United States of America,1
Doghouse,tt1023500,http://www.imdb.com/title/tt1023500/,6.1,,11,6,2009,89,English,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Stephen Graham,0,This Is England (2006),3760,Danny Dyer,0,The Football Factory (2004),5492,Noel Clarke,0,Brotherhood (I) (2016),6322,31,Jake West,0,1,Mike Loveday,1,Jake West,Carnaby International,3,United Kingdom,1
Dogma,tt0120655,http://www.imdb.com/title/tt0120655/,7.4,10000000,12,11,1999,130,English,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Affleck,0,Argo (2012),197,Matt Damon,0,Good Will Hunting (1997),150,Linda Fiorentino,1,Men in Black (1997),2001,25,Kevin Smith,0,1,Scott Mosier,1,Kevin Smith,Lions Gate,2,United States of America,1
Dogtown and Z-Boys,tt0275309,http://www.imdb.com/title/tt0275309/,7.7,,18,1,2001,91,English,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sean Penn,0,Mystic River (2003),828,Jay Adams,0,Ray (I) (2004),60463,Henry Rollins,0,Johnny Mnemonic (1995),4433,9,Stacy Peralta,0,1,none,0,Paul Crowder,Agi Orsi Productions,2,United States of America,1
Dogville,tt0276919,http://www.imdb.com/title/tt0276919/,8,10000000,19,5,2003,178,English,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicole Kidman,1,Moulin Rouge! (2001),386,Harriet Andersson,1,Cries & Whispers (1972),17888,Lauren Bacall,1,To Have and Have Not (1944),1903,31,Lars von Trier,0,1,Vibeke Windeløv,6,Molly Malene Stensgaard,Zentropa Entertainments,19,Denmark,9
Dollar for the Dead,tt0172341,http://www.imdb.com/title/tt0172341/,5.3,,1,1,1998,94,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Emilio Estevez,0,The Way (I) (2010),928,William Forsythe,0,"b""The Devils Rejects (2005)""",4079,Jordi Mollà,0,none,9001722,5,Gene Quintano,0,1,none,0,none,none,0,Spain,2
Domestic Disturbance,tt0249478,http://www.imdb.com/title/tt0249478/,5.5,75000000,30,10,2001,89,English,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,John Travolta,0,Battlefield Earth (2000),633,Vince Vaughn,0,The Break-Up (2006),1702,Teri Polo,1,Meet the Parents (2000),2069,9,Harold Becker,0,1,Harold Becker,1,Peter Honess,Paramount Pictures,1,United States of America,1
Don,tt0461936,http://www.imdb.com/title/tt0461936/,7.2,7100000,20,10,2006,178,हिन्दी,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shah Rukh Khan,0,Devdas (I) (2002),2209,Priyanka Chopra,1,Baywatch (2017),663,Arjun Rampal,0,Don (I) (2006),20803,13,Farhan Akhtar,0,1,Ritesh Sidhwani,1,none,Excel Entertainment,2,India,1
Don Jon,tt2229499,http://www.imdb.com/title/tt2229499/,6.8,6000000,26,7,2013,90,English,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Inception (2010),674,Scarlett Johansson,1,Her (2013),114,Julianne Moore,1,The Hours (2002),787,58,Joseph Gordon-Levitt,0,1,Ram Bergman,1,Lauren Zuckerman,Voltage Pictures,3,United States of America,1
Don Juan DeMarco,tt0112883,http://www.imdb.com/title/tt0112883/,6.8,25000000,1,10,1994,97,English,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Johnny Depp,0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),121,Marlon Brando,0,Apocalypse Now (1979),785,Faye Dunaway,1,Bonnie and Clyde (1967),1941,13,Jeremy Leven,0,1,Francis Ford Coppola,3,Antony Gibbs,New Line Cinema,2,United States of America,1
Donnie Brasco,tt0119008,http://www.imdb.com/title/tt0119008/,7.8,35000000,27,2,1997,127,日本語,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johnny Depp,0,Pirates of the Caribbean: The Curse of the Black Pearl (2003),121,Al Pacino,0,Serpico (1973),516,Michael Madsen,0,The Hateful Eight (2015),1462,12,Mike Newell,0,1,Louis DiGiaimo,4,Jon Gregory,TriStar Pictures,4,United States of America,1
Donnie Darko,tt0246578,http://www.imdb.com/title/tt0246578/,8.1,6000000,18,1,2001,113,English,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Jake Gyllenhaal,0,Nightcrawler (2014),170,Jena Malone,1,Contact (1997),792,Patrick Swayze,0,Dirty Dancing (1987),982,28,Richard Kelly,0,1,Adam Fields,3,Sam Bauer,Pandora Cinema,3,United States of America,1
Dont Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126,http://www.imdb.com/title/tt0116126/,6.6,,12,1,1996,89,English,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shawn Wayans,0,White Chicks (2004),7487,Marlon Wayans,0,White Chicks (2004),3019,Tracey Cherelle Jones,1,"b""Dont Be a Menace to South Central While Drinking Your Juice in the Hood (1996)""",18479,14,Paris Barclay,0,1,Keenen Ivory Wayans,2,Marshall Harvey,Miramax Films,3,United States of America,1
Dont Be Afraid of the Dark,tt1270761,http://www.imdb.com/title/tt1270761/,5.6,25000000,6,11,2010,99,English,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Katie Holmes,1,Batman Begins (2005),1251,Guy Pearce,0,Memento (2000),262,Bailee Madison,1,Bridge to Terabithia (2007),485,9,Troy Nixey,0,1,Mark Johnson,3,Jill Bilcock,Miramax Films,5,United States of America,3
Dont Look Now,tt0069995,http://www.imdb.com/title/tt0069995/,7.4,1500000,3,12,1973,110,Italiano,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Julie Christie,1,Doctor Zhivago (1965),3024,Donald Sutherland,0,The Hunger Games: Catching Fire (2013),1461,Hilary Mason,1,"b""Dont Look Now (1973)""",31530,14,Nicolas Roeg,0,1,Peter Katz,2,Graeme Clifford,Casey Productions,2,Italy,2
Dont Tell Mom the Babysitters Dead,tt0101757,http://www.imdb.com/title/tt0101757/,6,10000000,7,6,1991,105,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christina Applegate,1,The Sweetest Thing (2002),1323,Joanna Cassidy,1,Blade Runner (1982),3738,Josh Charles,0,Dead Poets Society (1989),3254,13,Stephen Herek,0,1,none,0,Larry Bock,Mercury,5,United States of America,1
Doom,tt0419706,http://www.imdb.com/title/tt0419706/,5.2,60000000,20,10,2005,105,日本語,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dwayne Johnson,0,Jumanji: Welcome to the Jungle (2017),130,Karl Urban,0,Star Trek (2009),741,Rosamund Pike,1,Gone Girl (2014),134,15,Andrzej Bartkowiak,0,1,Lorenzo di Bonaventura,2,Derek Brechin,Di Bonaventura Pictures,7,Czech Republic,4
Doomsday,tt0483607,http://www.imdb.com/title/tt0483607/,6,30000000,14,3,2008,108,English,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Rhona Mitra,1,Underworld: Rise of the Lycans (2009),680,Bob Hoskins,0,The Long Good Friday (1980),5317,Malcolm McDowell,0,A Clockwork Orange (1971),2156,56,Neil Marshall,0,1,Steven Paul,2,Andrew MacRitchie,Rogue Pictures,6,Germany,4
Doppelgänger,tt0064519,http://www.imdb.com/title/tt0064519/,6.4,,8,9,1969,101,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Roy Thinnes,0,Airport 1975 (1974),16815,Ian Hendry,0,Get Carter (1971),18472,Patrick Wymark,0,Repulsion (1965),28283,12,Robert Parrish,0,1,Sylvia Anderson,2,Len Walter,Century 21 Television,1,United Kingdom,1
Dorian Gray,tt1235124,http://www.imdb.com/title/tt1235124/,6.3,,9,9,2009,112,English,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ben Barnes,0,The Chronicles of Narnia: Prince Caspian (2008),1302,Colin Firth,0,A Single Man (2009),987,Rebecca Hall,1,Vicky Cristina Barcelona (2008),205,20,Oliver Parker,0,1,Barnaby Thompson,1,none,Ealing Studios,2,United Kingdom,1
Dorm Daze 2,tt0458438,http://www.imdb.com/title/tt0458438/,4,,14,12,2006,100,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gable Carr,1,Dorm Daze (2003),67071,Tony Denman,0,Fargo (1996),20212,James DeBello,0,Detroit Rock City (1999),12873,20,David Hillenbrand,0,2,Sanford Hampton,2,none,National Lampoon Productions,2,United States of America,1
Double Indemnity,tt0036775,http://www.imdb.com/title/tt0036775/,8.5,927262,24,4,1944,107,English,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fred MacMurray,0,Double Indemnity (1944),9137,Barbara Stanwyck,1,Double Indemnity (1944),3650,Edward G. Robinson,0,Key Largo (1948),8200,30,Billy Wilder,0,1,Joseph Sistrom,1,none,Paramount Pictures,1,United States of America,1
Double Indemnity,tt0070000,http://www.imdb.com/title/tt0070000/,4.7,,13,10,1973,75,English,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Richard Crenna,0,Rambo III (1988),6302,Lee J. Cobb,0,12 Angry Men (1957),7836,Samantha Eggar,1,The Molly Maguires (1970),7168,11,Jack Smight,0,1,Robert F. ONeill,1,Edward A. Biery,Universal TV,1,United States of America,1
Double Jeopardy,tt0150377,http://www.imdb.com/title/tt0150377/,6.3,70000000,24,9,1999,105,English,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Tommy Lee Jones,0,The Fugitive (1993),1613,Ashley Judd,1,Double Jeopardy (1999),1535,Bruce Greenwood,0,Star Trek (2009),1651,8,Bruce Beresford,0,1,Leonard Goldberg,1,Mark Warner,Paramount Pictures,1,Canada,2
Doubt,tt0918927,http://www.imdb.com/title/tt0918927/,7.5,20000000,27,11,2008,104,English,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Meryl Streep,1,Out of Africa (1985),559,Philip Seymour Hoffman,0,The Master (2012),1232,Amy Adams,1,Arrival (II) (2016),100,45,John Patrick Shanley,0,1,Scott Rudin,2,Dylan Tichenor,Scott Rudin Productions,2,United States of America,1
Down by Law,tt0090967,http://www.imdb.com/title/tt0090967/,7.9,,1,5,1986,107,English,2,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Waits,0,Seven Psychopaths (2012),3518,John Lurie,0,Get Shorty (1995),23143,Roberto Benigni,0,Life Is Beautiful (1997),7774,6,Jim Jarmusch,0,1,Alan Kleinberg,1,none,Island Pictures,4,Germany,2
Down in the Valley,tt0398027,http://www.imdb.com/title/tt0398027/,6.5,8000000,13,5,2005,112,English,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Edward Norton,0,American History X (1998),818,Evan Rachel Wood,1,Thirteen (2003),504,David Morse,0,The Green Mile (1999),2601,15,David Jacobson,0,1,Edward Norton,4,Edward Norton,Class 5 Films,1,United States of America,1
Down Periscope,tt0116130,http://www.imdb.com/title/tt0116130/,5.9,,1,3,1996,92,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kelsey Grammer,0,Cheers (1982),2216,Lauren Holly,1,Dumb and Dumber (1994),1380,Rob Schneider,0,The Hot Chick (2002),2461,47,David S. Ward,0,1,Robert Lawrence,1,William M. Anderson,Twentieth Century Fox Film Corporation,1,United States of America,1
Down to Earth,tt0231775,http://www.imdb.com/title/tt0231775/,5.4,,16,2,2001,87,English,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Rock,0,Top Five (2014),4448,Regina King,1,Ray (I) (2004),1756,Chazz Palminteri,0,The Usual Suspects (1995),6564,15,Chris Weitz,0,2,none,0,none,Paramount Pictures,2,United States of America,1
Down to the Sea in Ships,tt0041313,http://www.imdb.com/title/tt0041313/,7.4,,15,2,1949,120,English,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richard Widmark,0,The Alamo (1960),5894,Lionel Barrymore,0,"b""Its a Wonderful Life (1946)""",7917,Dean Stockwell,0,Quantum Leap (1989),3751,11,Henry Hathaway,0,1,Louis D. Lighton,1,Dorothy Spencer,Twentieth Century Fox Film Corporation,1,United States of America,1
Downhill Racer,tt0064253,http://www.imdb.com/title/tt0064253/,6.2,,6,11,1969,101,Deutsch,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sylvester Stallone,0,Rocky (1976),151,Robert Redford,0,The Natural (1984),192,Gene Hackman,0,The French Connection (1971),1854,8,Michael Ritchie,0,1,none,0,none,Paramount Pictures,1,United States of America,1
Downstairs,tt0022834,http://www.imdb.com/title/tt0022834/,8.1,,6,8,1932,77,English,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Gilbert,0,The Hunger Games (2012),170935,Paul Lukas,0,Watch on the Rhine (1943),16666,Virginia Bruce,1,The Invisible Woman (1940),9885,16,Monta Bell,0,1,Monta Bell,1,Conrad A. Nervig,Metro-Goldwyn-Mayer (MGM),1,United States of America,1
Dr. Cyclops,tt0032412,http://www.imdb.com/title/tt0032412/,6.4,,9,4,1940,76,English,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Albert Dekker,0,Kiss Me Deadly (1955),25627,Thomas Coley,0,One Step Beyond (1959),169451,Janice Logan,1,Summer Hotel (1944),221980,10,Ernest B. Schoedsack,0,1,Merian C. Cooper,2,Ellsworth Hoagland,Paramount Pictures,1,United States of America,1
Dr. Dolittle 2,tt0240462,http://www.imdb.com/title/tt0240462/,4.6,70000000,22,6,2001,87,English,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eddie Murphy,0,The Nutty Professor (1996),934,Kristen Wilson,1,Doctor Dolittle (1998),9821,Raven-Symoné,1,none,8748062,47,Steve Carr,0,1,John Davis,2,Craig Herring,Twentieth Century Fox Film Corporation,3,United States of America,1
Dr. Jekyll and Mr. Hyde,tt0033553,http://www.imdb.com/title/tt0033553/,6.9,,12,8,1941,113,English,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Spencer Tracy,0,"b""Guess Whos Coming to Dinner (1967)""",5607,Ingrid Bergman,1,Notorious (1946),2448,Lana Turner,1,Peyton Place (1957),4111,18,Victor Fleming,0,1,Victor Saville,1,Harold F. Kress,Metro-Goldwyn-Mayer (MGM),1,United States of America,1
Dr. No,tt0055928,http://www.imdb.com/title/tt0055928/,7.3,950000,4,10,1962,110,English,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sean Connery,0,The Rock (1996),517,Ursula Andress,1,Dr. No (1962),2474,Joseph Wiseman,0,Dr. No (1962),12685,11,Terence Young,0,1,Albert R. Broccoli,2,Peter R. Hunt,United Artists,2,Jamaica,2
Dracula,tt0021814,http://www.imdb.com/title/tt0021814/,7.7,355000,12,2,1931,72,Deutsch,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bela Lugosi,0,Dracula (1931),8554,Helen Chandler,1,Goodbye Again (1933),27037,David Manners,0,The Black Cat (1934),21187,26,Tod Browning,0,1,Tod Browning,3,Milton Carruth,Universal Pictures,1,United States of America,1
Dracula,tt0051554,http://www.imdb.com/title/tt0051554/,7.5,226188,8,5,1958,82,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Peter Cushing,0,Star Wars: Episode IV - A New Hope (1977),4459,Christopher Lee,0,Star Wars: Episode II - Attack of the Clones (2002),1720,Michael Gough,0,Batman (1989),7468,13,Terence Fisher,0,1,Anthony Hinds,1,James Needs,Hammer Film Productions,1,United Kingdom,1
Dracula,tt0103874,http://www.imdb.com/title/tt0103874/,7.5,40000000,13,11,1992,128,Latin,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Gary Oldman,0,Tinker Tailor Soldier Spy (2011),593,Winona Ryder,1,Little Women (1994),374,Anthony Hopkins,0,The Silence of the Lambs (1991),671,29,Francis Ford Coppola,0,1,Francis Ford Coppola,2,Anne Goursaud,American Zoetrope,3,United States of America,1
Dracula,tt0079073,http://www.imdb.com/title/tt0079073/,6.4,,20,7,1979,109,Nederlands,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Frank Langella,0,Frost/Nixon (2008),2983,Laurence Olivier,0,Rebecca (1940),2698,Donald Pleasence,0,Halloween (1978),1160,17,John Badham,0,1,Walter Mirisch,1,John Bloom,Universal Pictures,2,United States of America,2
Dracula 2000,tt0219653,http://www.imdb.com/title/tt0219653/,4.9,28000000,22,12,2000,99,English,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Gerard Butler,0,300 (2006),371,Christopher Plummer,0,Beginners (2010),1541,Jonny Lee Miller,0,Mindhunters (2004),1274,13,Patrick Lussier,0,1,W.K. Border,2,Peter Devaney Flanagan,Neo Art & Logic,3,United States of America,1
Dracula Has Risen from the Grave,tt0062909,http://www.imdb.com/title/tt0062909/,6.5,,7,11,1968,92,English,2,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Christopher Lee,0,Star Wars: Episode II - Attack of the Clones (2002),1720,Rupert Davies,0,The Spy Who Came in from the Cold (1965),50440,Veronica Carlson,1,The Horror of Frankenstein (1970),16956,12,Freddie Francis,0,1,Aida Young,1,Spencer Reeve,Hammer Film Productions,1,United Kingdom,1
Dracula: Dead and Loving It,tt0112896,http://www.imdb.com/title/tt0112896/,5.7,,22,12,1995,88,English,2,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Leslie Nielsen,0,Airplane! (1980),2791,Mel Brooks,0,Spaceballs (1987),1287,Amy Yasbeck,1,The Mask (1994),2501,11,Mel Brooks,0,1,Mel Brooks,1,Adam Weiss,Columbia Pictures,3,France,2
Dracula: Prince of Darkness,tt0059127,http://www.imdb.com/title/tt0059127/,6.7,280379,9,1,1966,90,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Christopher Lee,0,Star Wars: Episode II - Attack of the Clones (2002),1720,Barbara Shelley,1,Five Million Years to Earth (1967),8856,Andrew Keir,0,Cleopatra (1963),22495,14,Terence Fisher,0,1,Anthony Nelson Keys,1,Chris Barnes,Seven Arts Productions,2,United Kingdom,1
Draculas Daughter,tt0027545,http://www.imdb.com/title/tt0027545/,6.4,,11,5,1936,71,English,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gloria Holden,1,"b""Draculas Daughter (1936)""",36862,Otto Kruger,0,High Noon (1952),15314,Marguerite Churchill,1,none,9307171,42,Lambert Hillyer,0,1,E.M. Asher,1,none,Universal Pictures,1,United States of America,1
Drag Me to Hell,tt1127180,http://www.imdb.com/title/tt1127180/,6.7,30000000,15,3,2009,99,English,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Alison Lohman,1,Drag Me to Hell (2009),1794,Justin Long,0,Live Free or Die Hard (2007),1843,Lorna Raver,1,Armored (2009),17266,22,Sam Raimi,0,1,Grant Curtis,2,Bob Murawski,Universal Pictures,5,United States of America,1
